Months,maximum,mean,minimum,pixelcount,stddev
CO2_2014_11,399.5304975,395.6373953,387.9079,698,1.645495028
CO2_2014_12,409.210035,397.5592204,389.768205,541,2.532339213
CO2_2015_1,400.63528,397.4190249,391.38116,447,0.657778866
CO2_2015_2,403.8551,398.9809592,394.115265,1159,0.967656339
CO2_2015_3,407.6213,399.9708653,394.163745,457,1.838570105
CO2_2015_4,404.93392,401.0884895,397.75,367,1.100871465
CO2_2015_5,407.20444,402.8823698,396.43942,222,1.510372773
CO2_2015_6,404.61896,399.3269824,389.81805,207,1.923512666
CO2_2015_7,399.2525,397.453181,394.715,10,1.308771439
CO2_2015_8,400.5045,396.460217,387.72165,221,2.345746218
CO2_2015_9,400.26733,396.7572852,390.58163,78,2.050122702
CO2_2015_10,398.33501,395.4986286,387.86398,543,1.334278203
CO2_2015_12,403.7089,399.7987739,393.24646,810,1.15825236
CO2_2016_1,404.19537,400.6491215,397.13916,518,1.041701982
CO2_2016_2,406.93817,403.1097202,397.83328,341,1.291376571
CO2_2016_3,408.7884,404.0125618,398.09827,492,1.19161415
CO2_2016_4,410.55423,405.8035136,399.70807,965,1.260558466
CO2_2016_5,411.3638,405.6441566,399.1657,1272,1.17223073
CO2_2016_6,404.54233,402.4374995,398.0198,41,1.885678315
CO2_2016_7,403.2091,401.7875721,400.4655,17,1.054349342
CO2_2016_8,409.8394,400.453943,393.56293,80,2.465844552
CO2_2016_9,403.12152,403.0895438,403.12152,1,0
CO2_2016_10,403.7471367,399.0852698,395.318075,313,1.482330346
CO2_2016_11,405.0686813,400.1380244,395.07666,279,1.209093272
CO2_2016_12,406.55225,402.4728165,389.62695,327,2.613672773
CO2_2017_1,410.28433,403.3011452,398.26144,1016,1.039473769
CO2_2017_2,411.1644267,404.3881941,401.8979,860,0.982775925
CO2_2017_3,410.89975,406.438289,400.4371,593,1.179392691
CO2_2017_4,414.810225,408.7121547,400.56467,1060,1.590158025
CO2_2017_5,412.34457,408.4562424,399.2568,146,2.090611658
CO2_2017_6,409.04962,404.6189927,397.97873,29,2.47997069
CO2_2017_7,407.0797,402.9736177,395.0274,30,3.235784293
CO2_2017_9,403.9014275,401.4059857,393.282,85,2.044664436
CO2_2017_11,405.5308071,403.7349596,398.88617,80,0.994494608
CO2_2017_12,407.342405,405.2835627,402.332965,447,0.545925024
CO2_2018_1,413.6683,404.9935289,399.21902,1162,1.218059134
CO2_2018_2,409.71451,406.9867905,403.0984775,201,0.700773372
CO2_2018_3,414.90427,408.3446312,404.6882867,814,1.065252883
CO2_2018_4,414.06754,410.0734186,403.47443,735,0.973844466
CO2_2018_5,414.67722,409.3779959,399.76114,271,2.114199575
CO2_2018_6,410.4078,405.7606936,397.84262,254,2.239111318
CO2_2018_9,410.71323,404.2970443,397.11153,498,2.302866892
CO2_2018_10,410.1207117,404.204909,399.19598,144,1.913426465
CO2_2018_12,410.4654625,408.3811889,404.28436,320,1.245369774
CO2_2019_1,411.91983,407.6703523,399.45035,1175,1.035239044
CO2_2019_2,413.86963,409.8212192,404.14554,780,1.020226697
