Months,mean
CO2_2014_11,395.6373953
CO2_2014_12,397.5592204
CO2_2015_1,397.4190249
CO2_2015_2,398.9809592
CO2_2015_3,399.9708653
CO2_2015_4,401.0884895
CO2_2015_5,402.8823698
CO2_2015_6,399.3269824
CO2_2015_7,397.453181
CO2_2015_8,396.460217
CO2_2015_9,396.7572852
CO2_2015_10,395.4986286
CO2_2015_12,399.7987739
CO2_2016_1,400.6491215
CO2_2016_2,403.1097202
CO2_2016_3,404.0125618
CO2_2016_4,405.8035136
CO2_2016_5,405.6441566
CO2_2016_6,402.4374995
CO2_2016_7,401.7875721
CO2_2016_8,400.453943
CO2_2016_9,403.0895438
CO2_2016_10,399.0852698
CO2_2016_11,400.1380244
CO2_2016_12,402.4728165
CO2_2017_1,403.3011452
CO2_2017_2,404.3881941
CO2_2017_3,406.438289
CO2_2017_4,408.7121547
CO2_2017_5,408.4562424
CO2_2017_6,404.6189927
CO2_2017_7,402.9736177
CO2_2017_9,401.4059857
CO2_2017_11,403.7349596
CO2_2017_12,405.2835627
CO2_2018_1,404.9935289
CO2_2018_2,406.9867905
CO2_2018_3,408.3446312
CO2_2018_4,410.0734186
CO2_2018_5,409.3779959
CO2_2018_6,405.7606936
CO2_2018_9,404.2970443
CO2_2018_10,404.204909
CO2_2018_12,408.3811889
CO2_2019_1,407.6703523
CO2_2019_2,409.8212192
CO2_2019_3,411.1319175
CO2_2019_4,413.1797082
CO2_2019_5,413.8932909
CO2_2019_6,411.6431351
CO2_2019_8,407.3273075
CO2_2019_9,407.9348442
CO2_2019_10,404.5102484
CO2_2019_11,408.4965629
CO2_2019_12,408.7841609
CO2_2020_1,410.2803176
CO2_2020_2,410.949504
CO2_2020_3,413.0011082
CO2_2020_4,413.8301955
CO2_2020_5,417.1956764
CO2_2020_6,408.6812472
CO2_2020_7,405.5016117
CO2_2020_9,407.7622287
CO2_2020_10,407.3810096
CO2_2020_11,405.4072226
CO2_2020_12,412.7112191
CO2_2021_1,412.3220766
CO2_2021_2,414.2432472
CO2_2021_3,415.2146222
CO2_2021_4,417.3456709
CO2_2021_5,413.3680194
CO2_2021_6,413.0883626
CO2_2021_7,413.5896282
CO2_2021_8,411.5357672
CO2_2021_9,411.3448394
CO2_2021_10,411.6307959
CO2_2021_12,413.7388029
CO2_2022_1,414.574579
CO2_2022_2,416.715705
CO2_2022_3,418.2327527
CO2_2022_4,419.2740347
CO2_2022_5,417.3080833
CO2_2022_6,418.4778505
CO2_2022_7,413.9782056
CO2_2022_8,410.8370892
CO2_2022_9,414.051096
CO2_2022_10,413.9957087
CO2_2022_11,416.9440424
CO2_2022_12,417.9705091
CO2_2023_1,418.3752882
CO2_2023_2,418.2698167
